;CIS_topic;Cluster_number;Num_docs;Cluster's top terms
0;vivienda;29;120;[vivienda, vivienda protegida, viviendas, viviendas protegidas, protección oficial, suelo, vivienda libre, precio, alquiler, suelo público, metros cuadrados, familias españolas, vivienda digna, sociedad pública, familias, acceso, jóvenes, conferencia sectorial, código técnico, ayudas]
1;justicia;15;65;[fiscal general, fiscal, fiscalía general, estatuto orgánico, fiscalía, fiscalía anticorrupción, consejo fiscal, justicia, tribunal supremo, política antiterrorista, política criminal, fiscales, responsabilidad política, juana chaos, audiencia nacional, pacto antiterrorista, consejo general, servicio público, comparte, proceso]
2;educación;8;205;[sistema educativo, educación, comunidad educativa, formación profesional, fracaso escolar, educación infantil, política educativa, becas, reforma educativa, abandono escolar temprano, conferencia sectorial, formación, calidad, educación pública, alumnos, enseñanza, administraciones educativas, centros, abandono escolar, resultados]
3;empleo;33;110;[reforma laboral, negociación colectiva, mercado laboral, diálogo social, agentes sociales, seguridad social, flexibilidad interna, contrato, despido, contratos indefinidos, relaciones laborales, contratación indefinida, huelga general, contratos, crecimiento económico, contrato indefinido, gobiernos socialistas, datos, paro, trabajadores]
4;medio ambiente;38;88;[energías renovables, seguridad nuclear, energía, central nuclear, eficiencia energética, política energética, energía nuclear, centrales nucleares, renovables, déficit tarifario, cambio climático, mix energético, sistema eléctrico, energético, materia energética, energía eléctrica, seguridad, ahorro energético, medio ambiente, santa maría]
5;salud;9;131;[sistema nacional, sanidad, sanidad pública, consejo interterritorial, sistema sanitario, asistencia sanitaria, profesionales sanitarios, salud, gasto farmacéutico, atención primaria, profesionales, atención sanitaria, servicios sanitarios, ley general, medicamentos, consumo, copago, atención, política farmacéutica, copago sanitario]
6;jóvenes;1;74;[jóvenes, paro juvenil, paro, jóvenes españoles, juvenil, desempleo juvenil, garantía juvenil, interlocutores sociales, seguridad social, población activa, mercado laboral, contratos, jóvenes menores, reforma laboral, contratos indefinidos, oportunidades, diálogo social, agentes sociales, desempleo, formación profesional]
7;ideología;40;47;[guerra civil, memoria histórica, guerra, archivo, comisión técnica, memoria, documentos, vasco, reconocimiento, documentación, nacionalista vasco, nacionalidad española, administración general, víctimas, instituciones, comisión mixta, derechos, democracia, cortes generales, generalitat]
8;economía;2;190;[empresas, empresas españolas, medianas empresas, empresa, política industrial, economía española, industria, industrial, mediana empresa, economía, i d i, pequeñas empresas, autónomos, actividad, pequeñas, crisis económica, trabajadores autónomos, actividad económica, industria española, tejido industrial]
9;internacional;37;155;[asuntos exteriores, política exterior, derechos humanos, cooperación, oriente medio, intereses españoles, comunidad internacional, diplomacia española, posición común, secretario general, posición, exteriores, intereses, cumbre iberoamericana, españoles, américa latina, visita, presidencia, cooperación internacional, asuntos generales]
10;cultura;16;130;[cultura, deporte, lengua, patrimonio, cultural, lenguas cooficiales, cine, lengua oficial, política cultural, patrimonio histórico, educación, patrimonio cultural, lenguas, cine español, lengua catalana, lenguas oficiales, lengua castellana, ciento cultural, industrias culturales, instituto cervantes]
11;inseguridad ciudadana;32;102;[seguridad ciudadana, policía, seguridad, guardia civil, inseguridad ciudadana, policía nacional, cuerpo nacional, policía judicial, interior, seguridad pública, policías, guardias civiles, efectivos policiales, juicios rápidos, delincuencia, infracciones penales, datos, incremento, derechos fundamentales, código penal]
12;social;35;171;[igualdad, servicios sociales, gasto social, política social, pobreza infantil, pobreza, políticas sociales, mujeres, personas dependientes, inclusión social, exclusión social, protección social, personas mayores, autonomía personal, familias, social, brecha salarial, seguridad social, vida familiar, atención]
13;servicios públicos e infraestructuras;43;143;[alta velocidad, línea, ave, red, tren, red convencional, madrid, fomento, tramo, red ferroviaria, eje atlántico, corredor, barcelona, transporte, trenes, frontera francesa, ancho uic, conexión, transporte ferroviario, redes transeuropeas]
14;corrupción;36;83;[agencia tributaria, fraude fiscal, amnistía fiscal, fraude, hacienda pública, agencia, reforma fiscal, reforma tributaria, hacienda, ley general tributaria, paraísos fiscales, administración tributaria, personas físicas, política fiscal, recaudación tributaria, administraciones públicas, sistema tributario, obligaciones tributarias, rentas medias, lucha]
15;fuerzas armadas;39;89;[fuerzas armadas, defensa, militares, defensa nacional, seguridad, misión, fuerzas armadas españolas, tropas, militar, ejército, s, accidente, apoyo, guardia civil, españoles, fuerzas, buque, operaciones, siglo xix, unidad]
16;tecnologia e investigación;14;111;[investigación, i d i, i d, ciencia, investigación científica, recursos humanos, desarrollo tecnológico, tecnología, investigadores, plan nacional, innovación, organismos públicos, política científica, personal investigador, comunidad científica, desarrollo, proyectos, recursos, sistema español, investigaciones científicas]
17;terrorismo;26;155;[país vasco, vasco, concierto económico, eta, tribunal constitucional, nacionalista vasco, política antiterrorista, sociedad vasca, política penitenciaria, instituciones penitenciarias, país, parlamento vasco, comunidad autónoma vasca, ciudadanos vascos, competencias, organización terrorista, partidos políticos, político, plan ibarretxe, banda terrorista eta]
